,Recency,,,,Frequency,,,
,Mean,Max,Min,Median,Mean,Max,Min,Median
Cluster 1,86.02,375,0,65,19.55,142.5,0,5.42
Cluster 2,118.06,375,0,69,37.06,145.5,0,33.3
Cluster 3,131.56,375,0,82,41.52,145,0,37.83
Cluster 4,129,375,0,77,39.61,144,0,37.27
Cluster 5,121.62,375,0,79,39.06,145.5,0,38.2
,,,,,,,,
,Monetary,,,,Returns,,,
,Mean,Max,Min,Median,Mean,Max,Min,Median
Cluster 1,138.7,708.86,0,91.03,0.39,6,0,0
Cluster 2,188.92,724.95,0,127.01,0.66,6,0,0
Cluster 3,216.83,704.65,0,165.76,0.7,7,0,0
Cluster 4,184.69,714.76,0,133.26,0.72,7,0,0
Cluster 5,205.32,717.22,0,150.2,0.74,7,0,0
