,Avg
0,20.702251666666665
1,18.692043333333334
2,23.79429
3,24.08477916666666
4,17.988353333333333
5,17.682143333333332
6,18.351133333333333
7,23.117730833333336
8,17.729049166666666
9,17.19536666666667
10,16.29989333333333
11,15.100566666666664
12,21.70733916666666
13,14.56252416666667
14,16.31925083333333
15,16.187288333333335
16,15.7851075
17,17.6339775
18,16.388718333333333
19,18.909383333333334
20,17.087304166666666
21,20.02380833333333
22,21.96630416666667
23,17.291006666666668
24,15.814654999999997
25,22.3744925
